input,correct,expected,predicted,score
"def write_output(
    inference_result: model.InferenceResult,
    output_dir: os.PathLike[str] | str,
    terms_of_use: str | None = None,
    name: str | None = None,
) -> None:
  
  processed_result = post_process_inference_result(inference_result)

  prefix = f'{name}_' if name is not None else ''

  with open(os.path.join(output_dir, f'{prefix}model.cif'), 'wb') as f:
    f.write(processed_result.cif)

  with open(
      os.path.join(output_dir, f'{prefix}summary_confidences.json'), 'wb'
  ) as f:
    f.write(processed_result.structure_confidence_summary_json)

  with open(os.path.join(output_dir, f'{prefix}confidences.json'), 'wb') as f:
    f.write(processed_result.structure_full_data_json)

  if <IFMASK>:
    with open(os.path.join(output_dir, 'TERMS_OF_USE.md'), 'wt') as f:
      f.write(terms_of_use) <ANS> ",false,terms_of_use is not None,"not isinstance(constraints_file, str) or not isinstance(constraints_file_path, str) or (constraints",53.74
"def xpath_attr_functional_pseudo_element(
            xpath: OriginalXPathExpr, function: FunctionalPseudoElement
    ) -> XPathExpr:
        
        if <IFMASK>:
            raise ExpressionError(
                f""Expected a single string or ident for ::attr(), got {function.arguments!r}""
            )
        return XPathExpr.from_xpath(xpath, attribute=function.arguments[0].value) <ANS> ",false,"function.argument_types() not in ([""STRING""], [""IDENT""])","not isinstance(xpath, str) or not isinstance(function, str) or (isinstance(xpath, str) and",73.14
"def initialize_cache(self, num_gpu_blocks: int, num_cpu_blocks: int) -> None:
        

        # NOTE: We log here to avoid multiple logs when number of workers is
        # greater than one. We could log in the engine, but not all executors
        # have GPUs.
        logger.info(""# GPU blocks: %d, # CPU blocks: %d"", num_gpu_blocks, num_cpu_blocks)

        self.cache_config.num_gpu_blocks = num_gpu_blocks
        self.cache_config.num_cpu_blocks = num_cpu_blocks

        if <IFMASK>:
            print(
                f""before init cache memory allocated: {torch.cuda.memory_allocated() / 1e9}GB, reserved: {torch.cuda.memory_reserved() / 1e9}GB""
            )
        self.worker.initialize_cache(num_gpu_blocks=num_gpu_blocks, num_cpu_blocks=num_cpu_blocks)
        if torch.distributed.get_rank() == 0:
            print(
                f""after init cache memory allocated: {torch.cuda.memory_allocated() / 1e9}GB, reserved: {torch.cuda.memory_reserved() / 1e9}GB""
            ) <ANS> ",false,torch.distributed.get_rank() == 0,self.use_cuda or self.use_cpu or self.use_rng_state or self.use_,58.19
"def extract_urls_from_jsonl(file_path):
    
    urls = set()
    url_to_data = {}
    with open(file_path, ""r"", encoding=""utf-8"") as f:
        for line in f:
            try:
                data = json.loads(line.strip())
                if <IFMASK>:
                    url = data[""url""]
                    urls.add(url)
                    # Store minimal context for each URL
                    url_to_data[url] = {""id"": data.get(""id"", """"), ""type"": data.get(""type"", """"), ""page"": data.get(""page"", """")}
            except json.JSONDecodeError:
                print(f""Warning: Could not parse JSON from line in {file_path}"")
                continue
    return urls, url_to_data <ANS> ",false,"""url"" in data and data[""url""]",not file_path.startswith('http') or file_path.startswith('https') or file_path.startswith,74.69
"def get_port():
    
    if <IFMASK>:
        port = int(os.environ['PORT'])
        print(f""Using PORT from environment variable: {port}"")
        return port
    elif 'WEBSITE_SITE_NAME' in os.environ:
        # Running in Azure App Service
        print(""Running in Azure App Service, using default port 8000"")
        return 8000  # Azure will redirect requests to this port
    else: <ANS> ",true,'PORT' in os.environ,not os.environ.get('NO_COLOR') or not os.environ.get('SANIC_COLOR') or,56.27
"def parse_rules_file(file_path):
    
    pdf_rules = defaultdict(list)

    with open(file_path, ""r"") as f:
        for line in f:
            line = line.strip()
            if <IFMASK>:
                continue
            try:
                rule = json.loads(line)
                if ""pdf"" in rule:
                    pdf_rules[rule[""pdf""]].append(rule)
            except json.JSONDecodeError:
                print(f""Warning: Could not parse line as JSON: {line}"") <ANS> ",true,not line,not line.startswith('Filesystem') or line.startswith('Filesystem') or line.startswith('Filesystem'),70.58
"def recreate_collection(collection_name, vector_size):
    
    if <IFMASK>:
        print(f""Dropping existing collection '{collection_name}'"")
        client.delete_collection(collection_name)

    print(f""Creating collection '{collection_name}' with vector size {vector_size}"")
    client.create_collection(
        collection_name=collection_name,
        vectors_config=VectorParams(size=vector_size, distance=Distance.COSINE),
    ) <ANS> ",true,client.collection_exists(collection_name),vector_size is None or vector_size == 0 or collection_name.endswith('vector') or collection_name,57.99
"def _fetch_max_batch_size(self, model_name, model_version: str = """") -> int:
        
        if <IFMASK>:
            return self._max_batch_sizes[model_name]

        with self._lock:
            # Double check, just in case another thread set the value while we were waiting
            if model_name in self._max_batch_sizes:
                return self._max_batch_sizes[model_name]

            if not self._grpc_endpoint: <ANS> ",true,model_name in self._max_batch_sizes,self._max_batch_sizes is None or self._max_batch_sizes.get('max_batch_,63.85
"def extract_json_from_string(s: str) -> Optional[Any]:
    
    # Regex to find JSON objects (greedy, matches first { to last })
    match = re.search(r""\{.*\}"", s, re.DOTALL)
    if <IFMASK>:
        json_str = match.group(0)
        try:
            return json.loads(json_str)
        except json.JSONDecodeError:
            return None
    return None <ANS> ",false,match,not s.endswith('.json') or s.endswith('.json') or s.endswith('.json') or s.,71.68
"def create_gpt_vector_store(client: ""OpenAI"", name: str, fild_ids: list[str]) -> Any:
    
    try:
        vector_store = client.vector_stores.create(name=name)
    except Exception as e:
        raise AttributeError(f""Failed to create vector store, please install the latest OpenAI python package: {e}"")

    # poll the status of the file batch for completion.
    batch = client.vector_stores.file_batches.create_and_poll(vector_store_id=vector_store.id, file_ids=fild_ids)

    if <IFMASK>:
        time.sleep(1)
        logging.debug(f""file batch status: {batch.file_counts}"")
        batch = client.vector_stores.file_batches.poll(vector_store_id=vector_store.id, batch_id=batch.id)

    if batch.status == ""completed"":
        return vector_store

    raise ValueError(f""Failed to upload files to vector store {vector_store.id}:{batch.status}"") <ANS> ",false,"batch.status == ""in_progress""","not isinstance(vector_store, dict) or not isinstance(vector_store, list) or len(vector_",69.21
"def get_config_for_model(model_string: str) -> Dict[str, Any]:
    
    if <IFMASK>:
        return MODEL_CONFIG_MAP[model_string]
    # If model not found, use default configuration based on provider
    provider, _ = parse_model_string(model_string)
    return {
        ""provider"": provider,
        ""default_params"": {""temperature"": 0.3},
    } <ANS> ",true,model_string in MODEL_CONFIG_MAP,not model_string.startswith('providers/') or not model_string.endswith('provider/') or not model_string,63.94
"def _validate_resolution_format(resolution: str):
    
    pattern = r""^\d+x\d+$""  # Matches a pattern of digits, ""x"", and digits
    matched_resolution = re.match(pattern, resolution)
    if <IFMASK>:
        raise ValueError(f""Invalid resolution format: {resolution}"") <ANS> ",false,matched_resolution is None,resolution == 'x' or (resolution == 'f' and (not (resolution == 'f' and (not,55.66
"def create_item(
        name: str, value: int, state: dict[str, Any] | None = None
    ) -> dict[str, Any]:
        
        if <IFMASK>:
            # state was read
            pass
        return {""name"": name, ""value"": value} <ANS> ",true,state,state is None and name not in state or state[name] != value or state[name] != value or state,60.81
"def create_named_schedule_sampler(name, diffusion):
    
    if <IFMASK>:
        return UniformSampler(diffusion)
    elif name == ""loss-second-moment"":
        return LossSecondMomentResampler(diffusion)
    else:
        raise NotImplementedError(f""unknown schedule sampler: {name}"") <ANS> ",true,"name == ""uniform""",not name.startswith('loss-second-moment') and name.endswith('loss-second-moment') and (,60.18
"def validate_window_size(configured: dict[str, Any], actual: dict[str, Any]) -> None:
	
	# Allow for small differences due to browser chrome, scrollbars, etc.
	width_diff = abs(configured['width'] - actual['width'])
	height_diff = abs(configured['height'] - actual['height'])

	# Tolerance of 5% or 20px, whichever is greater
	width_tolerance = max(configured['width'] * 0.05, 20)
	height_tolerance = max(configured['height'] * 0.05, 20)

	if <IFMASK>:
		print(f'⚠️  WARNING: Significant difference between expected and actual page size! ±{width_diff}x{height_diff}px')
		raise Exception('Window size validation failed')
	else:
		print('✅ Window size validation passed: actual size matches configured size within tolerance') <ANS> ",false,width_diff > width_tolerance or height_diff > height_tolerance,len(configured) != actual.get('width') or len(actual) != configured['width'] or len(,67.70
"def cleanup_memory(self):
        
        # Clear CUDA cache
        if <IFMASK>:
            torch.cuda.empty_cache()

            # Log memory usage if in verbose mode
            allocated = torch.cuda.memory_allocated() / (1024 ** 3)
            reserved = torch.cuda.memory_reserved() / (1024 ** 3)
            logger.info(f""GPU Memory: {allocated:.2f}GB allocated, {reserved:.2f}GB reserved"")

        # Collect Python garbage <ANS> ",false,torch.cuda.is_available(),self.is_alive() and self.is_alive() and (not self.is_alive()) and (,66.52
"def copy_to_shm(src:str):
    
    shm_model_root = '/dev/shm/verl-cache/'
    src_abs = os.path.abspath(os.path.normpath(src))
    dest = os.path.join(shm_model_root, hashlib.md5(src_abs.encode('utf-8')).hexdigest())
    os.makedirs(dest, exist_ok=True)
    dest = os.path.join(dest, os.path.basename(src_abs))
    if <IFMASK>:
        # inform user and depends on him
        print(f""[WARNING]: The memory model path {dest} already exists. If it is not you want, please clear it and restart the task."")
    else:
        if os.path.isdir(src):
            shutil.copytree(src, dest, symlinks=False, dirs_exist_ok=True)
        else:
            shutil.copy2(src, dest)
    return dest <ANS> ",true,"os.path.exists(dest) and verify_copy(src, dest)",not os.path.exists(src) or not os.path.exists(dst) or os.path.,74.99
"def from_pretrained(self, repo_id: str) -> ""Vocos"":
        
        config_path = hf_hub_download(repo_id=repo_id, filename=""config.yaml"")
        model_path = hf_hub_download(repo_id=repo_id, filename=""pytorch_model.bin"")
        model = self.from_hparams(config_path)
        state_dict = torch.load(model_path, map_location=""cpu"")
        if <IFMASK>:
            encodec_parameters = {
                ""feature_extractor.encodec."" + key: value
                for key, value in model.feature_extractor.encodec.state_dict().items()
            }
            state_dict.update(encodec_parameters)
        model.load_state_dict(state_dict)
        model.eval()
        return model <ANS> ",false,"isinstance(model.feature_extractor, EncodecFeatures)",not self.do_xcom_push or not self.do_xcom_push_all_kwargs or self.,61.30
"def _parse_datetime_field(self, dt_obj: Optional[Dict]) -> Optional[datetime]:
        
        if <IFMASK>:
            return None
        try:
            dt_str = dt_obj[""dateTime""]
            if ""T"" in dt_str:
                # Handle timezone info
                if dt_str.endswith(""Z""):
                    dt_str = dt_str.replace(""Z"", ""+00:00"")
                elif ""+"" not in dt_str and ""-"" not in dt_str[-6:]: <ANS> ",false,"not dt_obj or not dt_obj.get(""dateTime"")",self.tz is not None and dt_str.startswith('Z') and (self.tz != dt_str,68.90
"def _get_auth_headers(self) -> Dict[str, str]:
        
        headers = {
            ""Content-Type"": ""application/json"",
            ""Accept"": ""application/json""
        }
        
        if <IFMASK>:
            # Basic authentication (username:password)
            encoded_credentials = base64.b64encode(self.credentials.encode()).decode()
            headers[""Authorization""] = f""Basic {encoded_credentials}""
        else:
            # API key authentication
            headers[""Authorization""] = f""Bearer {self.credentials}""
        
        return headers <ANS> ",true,':' in self.credentials,"self.username and self.password and self.database_type and self.database_type not in (None,",61.53
"def build_agent_tree(parent_tree, agent_obj):
            
            parent_tree.add(create_tools_section(agent_obj.tools))

            if <IFMASK>:
                agents_branch = parent_tree.add(""🤖 [italic #1E90FF]Managed agents:"")
                for name, managed_agent in agent_obj.managed_agents.items():
                    agent_tree = agents_branch.add(get_agent_headline(managed_agent, name))
                    if managed_agent.__class__.__name__ == ""CodeAgent"":
                        agent_tree.add(
                            f""✅ [italic #1E90FF]Authorized imports:[/italic #1E90FF] {managed_agent.additional_authorized_imports}""
                        )
                    agent_tree.add(f""📝 [italic #1E90FF]Description:[/italic #1E90FF] {managed_agent.description}"") <ANS> ",true,agent_obj.managed_agents,"not isinstance(agent_obj.config.getoption('workerinput', 'False') or not isinstance(agent_obj",53.05
"def _read_file_safe(file_path: str) -> Optional[str]:
    
    if <IFMASK>:
        return None
    try:
        with open(file_path, 'r', encoding='utf-8') as f:
            return f.read()
    except Exception as e:
        logger.error(f""Error reading file {file_path}: {e}"")
        return None <ANS> ",false,not os.path.exists(file_path),not file_path.startswith('http') or file_path.startswith('https') or file_path.startswith,73.81
"def __init__(
        self,
        exit_stack: contextlib.AsyncExitStack | None = None,
        component_name_hook: _ComponentNameHook | None = None,
    ) -> None:
        

        self._tools = {}
        self._resources = {}
        self._prompts = {}

        self._sessions = {}
        self._tool_to_session = {}
        if <IFMASK>:
            self._exit_stack = contextlib.AsyncExitStack()
            self._owns_exit_stack = True
        else:
            self._exit_stack = exit_stack
            self._owns_exit_stack = False
        self._session_exit_stacks = {}
        self._component_name_hook = component_name_hook <ANS> ",true,exit_stack is None,self._exit_stack is None and self._exit_stack.is_closing() and (not self._exit,62.10
"def _fix_chrome_permissions(self, user_data_dir):
        
        try:
            if <IFMASK>:  # macOS
                import subprocess
                import pwd
                
                # Get current user
                current_user = pwd.getpwuid(os.getuid()).pw_name
                
                # Fix permissions for Chrome directory
                chrome_dir = os.path.expanduser('~/Library/Application Support/Google/Chrome') <ANS> ",false,sys.platform == 'darwin',self.use_managed_permissions and user_data_dir in self.get_managed_permissions() and (,54.81
"def init_progressive(self, noise_scale=0.01):
        
        self._copy_non_transformer_params()

        # copy pretrained layers
        for i in range(self.pretrained_layers):
            for key in self.pretrained_state:
                if <IFMASK>:
                    new_key = key.replace(f""blocks.{i}."", f""blocks.{i}."")
                    self.target_state[new_key] = self.pretrained_state[key]

        # progressive init new layers
        for i in range(self.pretrained_layers, self.target_layers):
            prev_layer = i - 1
            for key in self.target_state:
                if f""blocks.{i}."" in key: <ANS> ",false,"f""blocks.{i}."" in key",noise_scale < 0.1 or noise_scale > 1.0 or (noise_scale < 0.1,66.96
"def check_and_install_dependencies():
    
    required_packages = [
        ""uvicorn"",
        ""tiktoken"",
        ""fastapi"",
        # Add other required packages here
    ]

    for package in required_packages:
        if <IFMASK>:
            print(f""Installing {package}..."")
            pm.install(package)
            print(f""{package} installed successfully"") <ANS> ",false,not pm.is_installed(package),AIRFLOW_V_3_0_PLUS and (not AIRFLOW_V_3_0_PLUS.value()),76.37
"def _analyze_contrarian_sentiment(news):
    

    max_score = 1
    score = 0
    details: list[str] = []

    if <IFMASK>:
        details.append(""No recent news"")
        return {""score"": score, ""max_score"": max_score, ""details"": ""; "".join(details)}

    # Count negative sentiment articles
    sentiment_negative_count = sum(
        1 for n in news if n.sentiment and n.sentiment.lower() in [""negative"", ""bearish""]
    ) <ANS> ",true,not news,len(news) == 0 and len(news) == 1 and (len(news) == 1) and (,58.83
"def opt_repetitions(up_to_n, prefix_with_sep=False):
        

        content = (
            f""{separator_rule} {item_rule}""
            if prefix_with_sep and separator_rule
            else item_rule
        )
        if <IFMASK>:
            return """"
        elif up_to_n == 1:
            return f""({content})?""
        elif separator_rule and not prefix_with_sep:
            return f""({content} {opt_repetitions(up_to_n - 1, prefix_with_sep=True)})?""
        else:
            return (f""({content} "" * up_to_n).rstrip() + ("")?"" * up_to_n) <ANS> ",false,up_to_n == 0,not sep and (not prefix_with_sep) and (not sep) and (not sep) and (not,71.63
"def comment_magic_commands(script_content: str) -> str:
    
    lines = script_content.splitlines()
    commented_lines = []
    for line in lines:
        # Check for magic commands, shell commands, or direct execution commands
        if <IFMASK>:
            commented_lines.append(f""# {line}"")  # Comment the line
        else:
            commented_lines.append(line)  # Keep the line unchanged
    return ""\n"".join(commented_lines) <ANS> ",false,"re.match(r'^\s*(!|%|pip|apt-get|curl|conda)', line.strip())",not script_content.startswith('main') or script_content.endswith('main') or script_content.endswith,63.42
"def to_native_types(obj: Any, resolve: bool = True, throw_on_missing: bool = True, enum_to_str: bool = True) -> Any:
    

    # convert dataclass to structured config
    if <IFMASK>:
        # huggingface objects have a to_dict method, we prefer that
        obj = obj.to_dict()
    elif is_dataclass(obj):
        # we go through structured config instead and hope for the best
        obj = om.to_container(obj)

    if isinstance(obj, DictConfig) or isinstance(obj, ListConfig):
        obj = om.to_container(obj, resolve=resolve, throw_on_missing=throw_on_missing, enum_to_str=enum_to_str) <ANS> ",true,"hasattr(obj, ""to_dict"")","isinstance(obj, DictConfig) and isinstance(obj, DictConfig) and (not isinstance(obj, DictConfig",67.04
"def detect_mutating_keywords(sql: str) -> list[str]:
    
    matched = []

    if <IFMASK>:
        matched.append('DDL')

    if PERMISSION_REGEX.search(sql):
        matched.append('PERMISSION')

    if SYSTEM_REGEX.search(sql):
        matched.append('SYSTEM') <ANS> ",true,DDL_REGEX.search(sql),"not isinstance(sql, str) or not isinstance(sql, str) or (not isinstance(sql, str))",65.73
"def _get_trace_filename(self) -> str:
        
        path_pattern = self.path_settings.path_pattern
        unique_id_type = self.path_settings.unique_id

        if <IFMASK>:
            unique_id = self.session_id
        elif unique_id_type == ""timestamp"":
            now = datetime.now()
            time_format = self.path_settings.timestamp_format
            unique_id = now.strftime(time_format)
        else:
            raise ValueError(
                f""Invalid unique_id type: {unique_id_type}. Expected 'session_id' or 'timestamp'."" <ANS> ",true,"unique_id_type == ""session_id""",self.session_id is None and self.path_settings.session_id is None and (not self.,68.44
"def print_curl(self, method: str, path: str, data: Optional[Dict[str, Any]] = None) -> None:
        
        curl_cmd = f
        
        if <IFMASK>:
            curl_cmd += f"" \\\n  -H 'Content-Type: application/json' \\\n  -d '{json.dumps(data)}'""
        
        print(""\nEquivalent curl command:"")
        print(curl_cmd)
        print() <ANS> ",false,data,self.method == 'POST' and self.path == path and (not self.headers) and (not self,61.65
"def _log_available_capabilities(self):
        
        capabilities = []
        if <IFMASK>:
            capabilities.append(""Mistral OCR"")
        if self.exiftool_available:
            capabilities.append(""Exiftool metadata extraction"")
        if self.openai_client:
            capabilities.append(""OpenAI image description"")

        if capabilities:
            logger.info(f""Image converter initialized with: {', '.join(capabilities)}"") <ANS> ",true,self.mistral_client,self.use_uv and self.use_bin_type and (not self.use_uv) and (,57.06
"def _run(self, **kwargs) -> str:
        
        if <IFMASK>:
            return (
                ""No MCP server is currently active. ""
                ""Use connect_to_mcp_server to connect to a server.""
            )
        return f""Currently active MCP server: {self.server_manager.active_server}"" <ANS> ",true,not self.server_manager.active_server,not self.server_manager.is_alive() and self.server_manager.is_alive() and (,67.06
"def load_images_from_directory(image_dir, valid_extensions=('.jpg', '.jpeg', '.png', '.webp')):
    
    images_dict = {}

    if <IFMASK>:
        raise ValueError(f""Directory {image_dir} does not exist"")

    for filename in os.listdir(image_dir):
        if filename.lower().endswith(valid_extensions):
            image_path = os.path.join(image_dir, filename)
            try:
                image = Image.open(image_path).convert(""RGB"")
                images_dict[image_path] = image <ANS> ",false,not os.path.exists(image_dir),not image_file_to_load.name.startswith(f'-{filename}') or not image_file_,60.91
"def _update_component_states(self, states: dict[str, Any]):
        
        with self._lock:
            logger.info(""[STATE] Updating states"")
            for component_id, new_value in states.items():
                old_value = self._component_states.get(component_id)

                cleaned_new_value = clean_nan_values(new_value)
                cleaned_old_value = clean_nan_values(old_value)

                if <IFMASK>:
                    self._component_states[component_id] = cleaned_new_value
                    logger.info(f""[STATE] State changed for {component_id=}"")
                    if logger.isEnabledFor(logging.DEBUG):
                        logger.debug(f""[STATE]  - {cleaned_old_value=}\n  - {cleaned_new_value=}"") <ANS> ",false,cleaned_old_value != cleaned_new_value,self._is_updated_after(old_value) or self._is_updated_after(new_value,66.92
"def safe_save_model_for_hf_trainer(trainer: transformers.Trainer, output_dir: str):
    

    if <IFMASK>:
        torch.cuda.synchronize()
        trainer.save_model(output_dir)
        return

    state_dict = trainer.model.state_dict()
    if trainer.args.should_save:
        cpu_state_dict = {key: value.cpu() for key, value in state_dict.items()}
        del state_dict <ANS> ",false,trainer.deepspeed,not os.path.exists(output_dir) or not os.path.exists(output_dir) or,75.14
"def load_model(self) -> None:
        
        # TODO: add mps (apple metal) support, currently cant benchmark mps device accurately for energy
        if <IFMASK>:
            nexa_model = NexaTextInference(model_path=self.config.model, device=""gpu"", **self.config.model_kwargs)
        elif self.config.device == ""cpu"":
            nexa_model = NexaTextInference(model_path=self.config.model, device=""cpu"", **self.config.model_kwargs)
        else:
            raise ValueError(f""Invalid device: {self.config.device}"")
        
        self.pretrained_model = nexa_model.model <ANS> ",true,"self.config.device == ""cuda"" or self.config.device == ""mps""",self.config.model_type == 'auto' and self.config.auto_generate and (not self.,56.70
"def switch_applications(self, app_code):
        
        if <IFMASK>:
            return f""import pyautogui; import time; pyautogui.hotkey('command', 'space', interval=0.5); pyautogui.typewrite({repr(app_code)}); pyautogui.press('enter'); time.sleep(1.0)""
        elif self.platform == ""linux"":
            return UBUNTU_APP_SETUP.replace(""APP_NAME"", app_code)
        elif self.platform == ""windows"":
            return f""import pyautogui; import time; pyautogui.hotkey('win', 'd', interval=0.5); pyautogui.typewrite({repr(app_code)}); pyautogui.press('enter'); time.sleep(1.0)"" <ANS> ",true,"self.platform == ""darwin""",self.platform == 'darwin' and self.platform == 'darwin' and (not self.platform.startswith(',53.05
"def _merge_data(self, existing: list[dict] | None, new_data: list[dict], key_field: str) -> list[dict]:
        
        if <IFMASK>:
            return new_data

        # Create a set of existing keys for O(1) lookup
        existing_keys = {item[key_field] for item in existing}

        # Only add items that don't exist yet
        merged = existing.copy()
        merged.extend([item for item in new_data if item[key_field] not in existing_keys]) <ANS> ",false,not existing,"self.merge_cells and isinstance(self.merge_cells, dict) and isinstance(self.merge_cells",68.29
"def check_hub_revision_exists(training_args: SFTConfig | GRPOConfig):
    
    if <IFMASK>:
        if training_args.push_to_hub_revision is True:
            # First check if the revision exists
            revisions = [rev.name for rev in list_repo_refs(training_args.hub_model_id).branches]
            # If the revision exists, we next check it has a README file
            if training_args.hub_model_revision in revisions:
                repo_files = list_repo_files(
                    repo_id=training_args.hub_model_id,
                    revision=training_args.hub_model_revision, <ANS> ",true,repo_exists(training_args.hub_model_id),not (args.push_to_hub_revision and args.hub_model_id in checks_on_,57.19
"def __update_session_state(self, session: Session, event: Event) -> None:
    
    if <IFMASK>:
      return
    for key, value in event.actions.state_delta.items():
      if key.startswith(State.TEMP_PREFIX):
        continue
      session.state.update({key: value}) <ANS> ",false,not event.actions or not event.actions.state_delta,self.session.in_transaction() and (not self.in_transaction()) and (not self.session.,69.38
"def restart(self) -> None:
        
        self._container.restart()
        if <IFMASK>:
            raise ValueError(f""Failed to restart container. Logs: {self._container.logs()}"") <ANS> ",true,"self._container.status != ""running""",self._container.logs and self._container.logs.should_stop() and (not self._container.logs,63.65
"def save_fid_stats(paths, batch_size, device, dims, num_workers=1):
    
    if <IFMASK>:
        raise RuntimeError(""Invalid path: %s"" % paths[0])

    if os.path.exists(paths[1]):
        raise RuntimeError(""Existing output file: %s"" % paths[1])

    block_idx = InceptionV3.BLOCK_INDEX_BY_DIM[dims]

    model = InceptionV3([block_idx]).to(device) <ANS> ",false,not os.path.exists(paths[0]),batch_size < 0 or batch_size > 1 or batch_size > 2 or batch_size > 3 or,67.01
"def _update_macos_platform_uuid(self, new_ids):
        
        try:
            uuid_file = ""/var/root/Library/Preferences/SystemConfiguration/com.apple.platform.uuid.plist""
            if <IFMASK>:
                # Use sudo to execute plutil command
                cmd = f'sudo plutil -replace ""UUID"" -string ""{new_ids[""telemetry.macMachineId""]}"" ""{uuid_file}""'
                result = os.system(cmd)
                if result == 0:
                    print(f""{Fore.GREEN}{EMOJI['SUCCESS']} {self.translator.get('reset.macos_platform_uuid_updated')}{Style.RESET_ALL}"")
                else:
                    raise Exception(f""{Fore.RED}{EMOJI['ERROR']} {self.translator.get('reset.failed_to_execute_plutil_command')}{Style.RESET_ALL}"")
        except Exception as e: <ANS> ",false,os.path.exists(uuid_file),self.wait_for_completion is not None and self.deferrable and (not self.wait_for_completion,68.22
"def process_audio_file(audio_path, text, polyphone):
    
    if <IFMASK>:
        print(f""audio {audio_path} not found, skipping"")
        return None
    try:
        audio_duration = get_audio_duration(audio_path)
        if audio_duration <= 0:
            raise ValueError(f""Duration {audio_duration} is non-positive."")
        return (audio_path, text, audio_duration)
    except Exception as e: <ANS> ",false,not Path(audio_path).exists(),"not isinstance(text, str) or not isinstance(text[0], str) or text[0] == ''",70.70
"def _search_by_url_sync(self, url: str, collection_name: str) -> Optional[List[str]]:
        
        client = self._get_milvus_client()
        
        logger.debug(f""Querying collection: {collection_name} for URL: {url}"")
        res = client.query(
            collection_name=collection_name,
            filter=f""url == '{url}'"",
            limit=1,
            output_fields=[""url"", ""text"", ""name"", ""site""],
        )
        
        if <IFMASK>:
            logger.warning(f""No item found for URL: {url}"")
            return None
        
        item = res[0]
        txt = json.dumps(item[""text""])
        logger.info(f""Successfully retrieved item for URL: {url}"")
        return [item[""url""], txt, item[""name""], item[""site""]] <ANS> ",false,len(res) == 0,self.query_ids and self.query_task_ids and self.query_task_group_ids and,62.56
"def get_all_pages(s3_client, document_files):
    
    file_contents = {}

    # First, collect all file paths and their document info
    for file_path in tqdm(document_files, desc=""Loading document files""):
        lines = load_document_file(s3_client, file_path)
        if <IFMASK>:
            logger.warning(f""Empty or invalid file: {file_path}"")
            continue

        # Parse each line for document info
        documents = []
        for i, line in enumerate(lines):
            doc_info = get_document_info_from_line(line, file_path, i)
            # Always add an entry for each line, even if None, to preserve line alignment <ANS> ",false,not lines,doc_info is not None and (not line.startswith(' ') or line.startswith(' ') or line.startswith,61.38
"def _store_conversation_turn(
        self, prompt: str, response_content: Dict[str, Any], call_type: str
    ):
        
        if <IFMASK>:
            _conversation_history[self.request_id] = []

        # Add user message
        _conversation_history[self.request_id].append(
            {""role"": ""user"", ""content"": prompt}
        )

        # Add AI response based on call type <ANS> ",true,self.request_id not in _conversation_history,call_type == 'response' and self.response_body_buf and self.response_content_buf and,59.95
"def resolve_ref(ref_string, current_doc):
      
      parts = ref_string.split(""/"")
      if <IFMASK>:
        raise ValueError(f""External references not supported: {ref_string}"")

      current = current_doc
      for part in parts[1:]:
        if part in current:
          current = current[part]
        else:
          return None  # Reference not found <ANS> ",false,"parts[0] != ""#""","isinstance(current_doc, dict) and 'name' in current_doc and 'value' in current_doc",60.92
"def toggle_light(light_name: str, state: bool) -> dict[str, Any]:
    
    if <IFMASK>:
        return {""error"": ""Bridge not connected"", ""success"": False}
    try:
        result = bridge.set_light(light_name, ""on"", state)
        return {
            ""light"": light_name,
            ""set_on_state"": state,
            ""success"": True,
            ""phue2_result"": result, <ANS> ",false,not (bridge := _get_bridge()),not result.failed() or not result.skipped() or not result.failed() or not result.skipped() or,61.19
"def list_files(relative_path: str = """") -> List[str]:
    
    path = (CONTEXT_PATH / relative_path).resolve()
    if <IFMASK>:
        return [f""Access denied: {relative_path}""]
    if not path.exists() or not path.is_dir():
        return [f""Not a directory: {relative_path}""]
    return os.listdir(path) <ANS> ",false,not str(path).startswith(str(CONTEXT_PATH)),not path.is_dir() or not path.is_symlink() or not path.is_symlink() or,79.13
"def process_query(ner_query):
            
            candidate_entities = self.ner.invoke(ner_query, **kwargs)
            for candidate_entity in candidate_entities:
                query_type = candidate_entity.get_entity_first_type_or_un_std()

                ner_id = f""{candidate_entity.entity_name}_{query_type}""
                if <IFMASK>:
                    ner_maps[ner_id] = {
                        ""candidate"": candidate_entity,
                        ""query"": ner_query,
                        ""query_type"": query_type,
                    } <ANS> ",false,ner_id not in ner_maps,not self.selected_fields and self.selected_fields[0].get('extra') != 'allow' and,53.71
"def _generate_context(self) -> str:
        
        context_parts = []

        for idx, intent in enumerate(self.intents.values(), 1):
            description = (
                f""{idx}. Intent: {intent.name}\nDescription: {intent.description}""
            )

            if <IFMASK>:
                examples = ""\n"".join(f""- {example}"" for example in intent.examples)
                description += f""\nExamples:\n{examples}""

            if intent.metadata:
                metadata = ""\n"".join(
                    f""- {key}: {value}"" for key, value in intent.metadata.items()
                )
                description += f""\nAdditional Information:\n{metadata}"" <ANS> ",false,intent.examples,self.context_type == 'string' and self.context_type == 'dict' and (not self.,50.40
